Barcode_x	Barcode_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
APT2	CLA4	NoDrug	DMSO	Neutral	DNA_repair	11.155224721928	4.10726081504041	0.0779996831812033	0.041496018675975	ALLEVIATING	NEUTRAL	2.9709861150486	0.0365036645052284	0.269148816482295
APT2	CSM2	NoDrug	DMSO	Neutral	DNA_repair	7.07999030205392	-0.0559720514937925	0.0507300363895594	-0.000581492178741696	NEUTRAL	NEUTRAL	4.06579452291379	0.0513115285683011	0.0449232482953345
CLA4	CSM2	NoDrug	DMSO	DNA_repair	DNA_repair	10.3832294896038	4.24195267879562	0.0596927497448586	0.0337994262647867	ALLEVIATING	NEUTRAL	2.63535427323283	0.0258933234800718	0.361477957936152
APT2	CSM3	NoDrug	DMSO	Neutral	DNA_repair	6.53949909535547	3.06818318470639	0.0394472733001739	0.0275372408958499	ALLEVIATING	NEUTRAL	1.10136881933536	0.011910032404324	0.690355928138432
CLA4	CSM3	NoDrug	DMSO	DNA_repair	DNA_repair	0.329620960667028	-5.43947380839989	0.0020144915655761	-0.0470175323760062	NEUTRAL	NEUTRAL	4.63173480160096	0.0490320239415823	0.0160281387339213
CSM2	CSM3	NoDrug	DMSO	DNA_repair	DNA_repair	2.74240642575599	-0.997756909848724	0.0150057385933853	-0.00802800682441295	NEUTRAL	NEUTRAL	2.36721574993344	0.0230337454177983	0.418002544739619
APT2	FLO8	NoDrug	DMSO	Neutral	Neutral	1.49652064699828	0.477859593238289	0.0107798452737061	0.00477977220510655	NEUTRAL	NEUTRAL	0.48677209546571	0.00600007306859958	0.788598491925966
CLA4	FLO8	NoDrug	DMSO	DNA_repair	Neutral	1.29067242063222	1.86165974100861	0.00741377467523479	0.0139969259958739	NEUTRAL	NEUTRAL	-0.695771187895563	-0.00658315132063912	0.77189136436227
CSM2	FLO8	NoDrug	DMSO	DNA_repair	Neutral	1.92316007112106	1.18563179254207	0.0124367344682403	0.0107395013412556	NEUTRAL	NEUTRAL	0.152497287124021	0.00169723312698475	0.842874323788274
CSM3	FLO8	NoDrug	DMSO	DNA_repair	Neutral	-0.726821826215911	-1.89263684624937	-0.00389416837313499	-0.0142174249259107	NEUTRAL	NEUTRAL	1.11882166151412	0.0103232565527757	0.690355928138432
APT2	GAL2	NoDrug	DMSO	Neutral	Neutral	0.377132900095874	-2.26651100896769	0.00278379752626238	-0.0238616443535091	NEUTRAL	NEUTRAL	2.0723157790376	0.0266454418797715	0.51067593561022
CLA4	GAL2	NoDrug	DMSO	DNA_repair	Neutral	3.50353984105648	-0.0144803593272849	0.0197485726873119	-0.000114016738552734	NEUTRAL	NEUTRAL	2.05116907293978	0.0198625894258647	0.512435828686471
CSM2	GAL2	NoDrug	DMSO	DNA_repair	Neutral	-1.457936483083	-2.53496879224645	-0.00987933914149111	-0.0238791588023912	NEUTRAL	NEUTRAL	1.20646819370948	0.0139998196609001	0.678280477262508
CSM3	GAL2	NoDrug	DMSO	DNA_repair	Neutral	1.99585215173346	0.120027741857516	0.0106928444729005	0.000937498133969056	NEUTRAL	NEUTRAL	1.02996528662387	0.00975534633893144	0.696087230020278
FLO8	GAL2	NoDrug	DMSO	Neutral	Neutral	-1.47072100391927	-1.09276402855512	-0.00988599326095736	-0.0100609042959739	NEUTRAL	NEUTRAL	0.0153436971237427	0.0001749110350165	0.850804715544665
APT2	HO	NoDrug	DMSO	Neutral	Neutral	-2.53084273598191	0.443402719096639	-0.0157747657067889	0.00406523226422581	NEUTRAL	NEUTRAL	-1.78958593199676	-0.0198399979710148	0.594061857836716
CLA4	HO	NoDrug	DMSO	DNA_repair	Neutral	-7.38760681153433	-2.97532817834325	-0.0374940188870859	-0.0215694623084363	NEUTRAL	NEUTRAL	-1.79949829335831	-0.0159245565786496	0.594061857836716
