Barcode_i	Barcode_j	C_ij.HetDipl	C_ij.NoDrug	C_ij.DMSO	C_ij.MMS	C_ij.4NQO	C_ij.BLMC	C_ij.ZEOC	C_ij.HYDX	C_ij.DXRB	C_ij.CMPT	C_ij.CSPL	GIS_ij.NoDrug	GIS_ij.DMSO	GIS_ij.MMS	GIS_ij.4NQO	GIS_ij.BLMC	GIS_ij.ZEOC	GIS_ij.HYDX	GIS_ij.DXRB	GIS_ij.CMPT	GIS_ij.CSPL	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS
1	HO_donor_1	APT2_recipient_1	325	191	175	234	200	242	210	221	217	273	201	0.0832125491570968	0.0957376406995167	0.123662883485888	0.0876282791868276	0.215782637439765	0.122805355009694	0.178137174515437	0.110244156142767	0.14521104446384	0.125763219722628	1296486	no	Neutral	Neutral	NA	NA	NA	NA
2	HO_donor_1	GAL2_recipient_1	197	158	150	193	166	165	150	162	169	206	152	0.0390311294479454	0.0845560878735301	-0.053324631474247	0.0455279242911123	0.0970873271288498	0.080770823820747	0.129046829945989	0.0448425394169611	0.138082434551024	0.0785442965625222	NA	no	Neutral	Neutral	NA	NA	NA	NA
3	HO_donor_1	HO_recipient_1	298	3	3	4	4	4	5	4	4	5	4	-0.702989680179561	-0.811184506326422	-0.881624949361064	-0.768772885093049	-0.628188163457344	-0.907194252885047	-0.638650027410964	-0.673807622239339	-0.724936488440508	-0.595621396651858	0	YES	Neutral	Neutral	NA	NA	NA	NA
4	HO_donor_1	HO_recipient_2	358	4	4	5	4	6	8	7	7	10	9	-0.714164974221601	-0.770108854181782	-0.853158489038725	-0.751732122603236	-0.709080641258114	-0.816170327587562	-0.697478298843864	-0.763969852534206	-0.872652359395752	-0.705079931224014	0	YES	Neutral	Neutral	NA	NA	NA	NA
5	HO_donor_1	MAG1_recipient_1	41	30	28	18	32	28	37	25	32	50	24	0.0445331034758218	0.0233023061709811	0.024719282209	0.070122392807128	0.100935139638208	0.192720521359845	-0.00680032443149792	0.0683261341141879	0.11080149449096	-0.0103693711577834	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
6	HO_donor_1	MAL13_recipient_1	263	182	174	261	196	200	197	195	231	262	179	0.107501097641008	0.123686302025096	0.157870896290056	0.149550402778393	0.155838284539251	0.225066674616449	0.128971222379482	0.195903547689243	0.129012018373571	0.158093750348463	NA	no	Neutral	Neutral	NA	NA	NA	NA
7	HO_donor_1	MMS1_recipient_1	56	27	22	18	21	42	43	40	21	12	35	0.10887068117262	0.0387565680900478	0.0463955699943158	0.0431874762446539	0.187177201562438	0.253601584668171	0.173763158827612	0.0834355991142193	0.0181450042827553	0.147227538986142	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
8	HO_donor_1	MMS4_recipient_1	103	62	60	53	59	81	71	57	41	24	60	0.0509651417147617	0.0113218569350811	0.0757579503450888	0.054739567758088	0.152529204761792	0.0929508144646976	0.00296929719623545	-0.00505463527778949	-0.0669300219431697	0.135086270529526	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
9	HO_donor_1	MPH1_recipient_1	52	32	29	26	25	36	60	26	33	59	33	0.199128710280495	0.0901938704813024	0.0554764127425949	0.0600872773336168	0.24019562747011	0.361800877524638	0.134228305124444	0.130584112932677	0.202097273144612	0.216728503470426	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
10	HO_donor_1	MUS81_recipient_1	35	16	17	16	13	23	22	14	5	0	16	0.0554017711286789	0.0250008313496978	0.0850618424479434	0.0136319149373529	0.0637601038483567	0.0847890609468076	-0.0175639085877833	-0.109963846779307	-0.0796817636880574	0.0622271137342928	1198053	no	Neutral	DNA_repair	NA	NA	NA	NA
11	HO_donor_1	NGL3_recipient_1	1540	1200	1214	1614	1544	1094	978	1123	1182	1260	1137	0.0219692007904128	0.0196249493153019	0.0463533837602121	0.0150301665169437	0.0995959281356704	0.016897543511778	0.0266132075849608	-0.00745726384106071	0.0340397003796182	0.0256992160115723	NA	no	Neutral	Neutral	NA	NA	NA	NA
12	HO_donor_1	CLA4_recipient_1	127	47	47	59	52	46	53	54	34	32	25	-0.0452126614182574	-0.0120129721929538	-0.0333336106456331	-0.00455017540908925	-0.050700884657342	-0.00150770273341178	0.038865285135408	-0.0697514671345316	-0.058011645126591	-0.0862393579660133	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
13	HO_donor_1	NGL3_recipient_2	279	307	285	413	332	243	239	250	313	326	233	0.105854778430799	0.161896757896449	0.0749585593155324	0.109958640308173	0.0864281802495925	0.022141556383933	0.0762869252817969	0.112986138719089	0.170551801013482	0.0245095967371542	NA	no	Neutral	Neutral	NA	NA	NA	NA
14	HO_donor_1	PSY3_recipient_1	218	241	226	189	249	161	233	172	236	270	233	-0.00960248117913987	0.0193785992813039	-0.0112501965696367	0.135037204479259	-0.108875912885473	0.00231123080007878	-0.0737560393005026	-0.0413445604723546	0.0464518501226382	0.0333779902501484	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
15	HO_donor_1	PSY3_recipient_2	517	270	248	212	251	196	296	283	266	271	283	0.0366117295658594	0.0758674198581038	0.00875216322299732	0.0317772370816539	0.000859027885433072	0.100822175200513	0.077912820164755	0.0210134970482959	0.0118060703641761	0.0606980904410441	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
16	HO_donor_1	RAD18_recipient_1	38	13	12	6	5	16	12	14	16	21	11	0.0425790700386576	0.0582096350250288	0.0320012390171684	0.0525722491660089	0.0666019738880307	0.034543386776241	0.0445454015674407	0.0673482420629942	0.0448675278226903	0.0398617829860375	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
17	HO_donor_1	RAD18_recipient_2	189	96	90	38	28	113	115	100	105	141	79	0.0562344301725778	0.0666139609175353	0.0283499357063382	0.032412183197819	0.111757233530604	0.176797313563541	0.07603595574017	0.0468356942971144	0.0699825323864899	0.0640408759311756	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
18	HO_donor_1	RAD51_recipient_1	41	13	14	12	13	22	20	24	15	17	15	0.0791014158798008	0.0761674622026397	0.0425114029453796	0.0746416557661107	0.138869796567264	0.175127683776988	0.166490873912067	0.148461699106014	0.125266565923378	0.110552841166759	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
19	HO_donor_1	RAD52_recipient_1	27	7	7	7	6	21	18	20	10	13	10	0.0401049990193566	0.0445732626688182	0.0632311781857886	0.0411600806327768	0.198134431964279	0.176584804505846	0.177592692064102	0.138921198622819	0.153831477512968	0.131717454801192	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
