Barcode_i	Barcode_j	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS	C_ij.HetDipl	C_ij.NoDrug	C_ij.DMSO	C_ij.MMS	C_ij.4NQO	C_ij.BLMC	C_ij.ZEOC	C_ij.HYDX	C_ij.DXRB	C_ij.CMPT	C_ij.CSPL	GIS_ij.NoDrug	GIS_ij.DMSO	GIS_ij.MMS	GIS_ij.4NQO	GIS_ij.BLMC	GIS_ij.ZEOC	GIS_ij.HYDX	GIS_ij.DXRB	GIS_ij.CMPT	GIS_ij.CSPL	Z_GIS_ij.NoDrug	Z_GIS_ij.DMSO	Z_GIS_ij.MMS	Z_GIS_ij.4NQO	Z_GIS_ij.BLMC	Z_GIS_ij.ZEOC	Z_GIS_ij.HYDX	Z_GIS_ij.DXRB	Z_GIS_ij.CMPT	Z_GIS_ij.CSPL	SE_GIS_ij.NoDrug	SE_GIS_ij.DMSO	SE_GIS_ij.MMS	SE_GIS_ij.4NQO	SE_GIS_ij.BLMC	SE_GIS_ij.ZEOC	SE_GIS_ij.HYDX	SE_GIS_ij.DXRB	SE_GIS_ij.CMPT	SE_GIS_ij.CSPL	FDR.Internal_ij.NoDrug	FDR.Internal_ij.DMSO	FDR.Internal_ij.MMS	FDR.Internal_ij.4NQO	FDR.Internal_ij.BLMC	FDR.Internal_ij.ZEOC	FDR.Internal_ij.HYDX	FDR.Internal_ij.DXRB	FDR.Internal_ij.CMPT	FDR.Internal_ij.CSPL
HO_donor_1	APT2_recipient_1	1296486	no	Neutral	Neutral	NA	NA	NA	NA	325	191	175	234	200	242	210	221	217	273	201	0.00798146411543665	-0.00612286560778663	-0.00511019495203091	-0.00667812135400703	0.0083090014644509	-0.006556171714035	-0.000107697919486505	0.00480366321099135	-0.00593867099403533	-0.0032710454422894	0.560817988789329	-0.279137872967345	-0.271339554312226	-0.266175450245736	0.357086571441585	-0.281597673792935	-0.00464897750914441	0.23814897968373	-0.270864909355638	-0.127615204096635	0.0142318261449971	0.021934915325886	0.0188332105320358	0.0250891708752317	0.0232688712737274	0.023282052105501	0.0231659368699173	0.0201708326332986	0.0219248444110493	0.0256320981927235	0.627938197801822	0.840569673478725	0.832575938736937	0.806249300972935	0.821651085523361	0.863960832445418	0.99911370461224	0.878567729573964	0.868796932076008	0.937672889120789
HO_donor_1	GAL2_recipient_1	NA	no	Neutral	Neutral	NA	NA	NA	NA	197	158	150	193	166	165	150	162	169	206	152	0.0025982229647501	-0.00823162342511596	-0.0208096713719208	0.0160313221864815	0.00557116886118592	0.00562561558945585	0.0164330296154159	0.00905367678906144	-0.00134606884626354	0.00833521784298841	0.177606604433536	-0.346327158129796	-0.97809923533607	0.588786279356321	0.207331615137862	0.213061014816279	0.625724923506526	0.389926028173821	-0.0533658936137929	0.289537103021533	0.0146290897967277	0.0237683451380701	0.0212756238018842	0.0272277441723123	0.0268708120441808	0.0264037773137745	0.0262623862308795	0.0232189598408278	0.0252233918540743	0.0287880819280302	0.872278978652227	0.800252453335223	0.433556481299819	0.557063979383809	0.891486072453831	0.876014623472134	0.695264448441236	0.803317886932126	0.98073216530268	0.846643220709911
HO_donor_1	HO_recipient_1	0	YES	Neutral	Neutral	NA	NA	NA	NA	298	3	3	4	4	4	5	4	4	5	4	-0.50410371117932	-0.766772297613194	-0.723612748480978	-0.843661991517471	-0.736799284259305	-0.781984205425841	-0.772221546667816	-0.751696005226098	-0.810510473494425	-0.917179541842819	-9.12356648960164	-9.1850718146723	-9.26775475583999	-8.80698171301193	-7.9389981469393	-9.64512099493238	-8.38690516670061	-8.61094224843421	-9.42154393831281	-8.63836372133023	0.0552529223910254	0.0834802724556106	0.0780785387124104	0.0957946796086788	0.0928075899026833	0.0810756242287371	0.0920746725185169	0.0872954414904808	0.0860273516528936	0.106175147450446	1.36055004371134e-14	1.49866956137177e-12	6.94548959364725e-14	1.11462552323633e-17	2.54043854142547e-06	1.915408025106e-10	2.06999313186627e-07	4.7590546478137e-08	1.068105272743e-09	1.91680329040661e-08
HO_donor_1	HO_recipient_2	0	YES	Neutral	Neutral	NA	NA	NA	NA	358	4	4	5	4	6	8	7	7	10	9	-0.507083242177926	-0.756078015572829	-0.737426781115333	-0.892181317106705	-0.755154643606078	-0.728937381199564	-0.715848177049728	-0.742233057713582	-0.786578719436771	-0.852126028597152	-9.61431667791112	-10.0446003585101	-11.4365353526251	-9.34482634113814	-9.63660352520553	-10.8466569678061	-9.75707479511832	-10.6639300905599	-12.206381914813	-10.8484223968172	0.0527425150601653	0.0752720853580062	0.0644799109501346	0.0954732901968559	0.0783631537430063	0.0672038751998074	0.0733670892230817	0.0696022058856737	0.0644399564855675	0.0785483821912354	4.86737082840946e-16	1.01007197687e-14	2.39020388613874e-20	1.03562546823385e-19	1.10528437710792e-08	7.88537532881022e-13	1.52250515954529e-09	1.35845682141995e-11	2.68588878545526e-15	1.68593790304784e-12
HO_donor_1	MAL13_recipient_1	NA	no	Neutral	Neutral	NA	NA	NA	NA	263	182	174	261	196	200	197	195	231	262	179	-0.00116499659731117	0.00205326155142893	0.0239392981557759	-0.00272561319290288	0.00916129011117239	0.0110353340499365	0.0166672612007984	0.0166451961883167	0.00150970912346704	0.00287409701881591	-0.0811515259638744	0.0937239742792017	1.32645817008336	-0.114958090102698	0.37389211328461	0.456309811430516	0.68285976471963	0.811199862208719	0.0633589380907298	0.10113211958789	0.0143558187412247	0.0219075382496298	0.018047533420727	0.0237096248769265	0.0245024962700905	0.0241838631857183	0.0244080293816135	0.020519229555828	0.0238278792063267	0.0284192305127962	0.953810799908412	0.930986643902317	0.279647102133401	0.921910623179949	0.813891106444099	0.751242262587811	0.669288720897754	0.605669822888229	0.958896451320361	0.943607036939237
HO_donor_1	MMS4_recipient_1	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	103	62	60	53	59	81	71	57	41	24	60	0.00347715587596875	0.00759296709010271	0.0282926455820749	0.0182453096880129	0.019689877590624	0.00195760392950683	-0.0157881277488224	-0.0137029592713519	-0.0442427707439385	0.039518790850694	0.162111408633796	0.231906833385556	0.920201178090116	0.526752146846465	0.627306263270006	0.0574482349061823	-0.427577294953273	-0.355743410186373	-0.86912851950899	0.919983164739596	0.0214491743997088	0.032741454743936	0.0307461523150801	0.034637371289786	0.0313879818256319	0.0340759630422721	0.0369246167539084	0.0385192216608397	0.0509047508519605	0.042955993506555	0.882604152556389	0.846762618805533	0.451763825593553	0.598328681455829	0.699488737553178	0.957699141581472	0.794126447730702	0.822824555152727	0.580176448698391	0.545928692555968
HO_donor_1	NGL3_recipient_1	NA	no	Neutral	Neutral	NA	NA	NA	NA	1540	1200	1214	1614	1544	1094	978	1123	1182	1260	1137	-0.0107146313411064	-0.01556120315923	-0.00788783147527372	-0.0137466434197401	-0.0105049631083748	0.00178035696169943	-0.010244409589766	-0.0226585158503773	-0.00699293669637746	0.00812167853413692	-1.02536190379866	-0.968058744545311	-0.584683428955059	-0.767248288358789	-0.57084289261715	0.0940474552604155	-0.577568068628793	-1.54597630059641	-0.389207356550115	0.39811978993425	0.0104496093539383	0.0160746475840565	0.0134907730998479	0.0179168121041304	0.018402546907806	0.0189304107885711	0.0177371467472004	0.0146564445015334	0.0179671236390853	0.0204000874598026	0.392047547066018	0.463642474384498	0.642022246942409	0.463459778806317	0.7443962273964	0.938415166176795	0.723415693204003	0.327647296017902	0.808838104748686	0.791703734971188
HO_donor_1	CLA4_recipient_1	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	127	47	47	59	52	46	53	54	34	32	25	-0.00863953917313309	0.00736526273454186	-0.00956275638802673	-0.00270117492162636	-0.0216660494406909	0.0193784555498733	0.00887107077350713	-0.028160676004498	-0.00473976466832526	-0.0580308813896303	-0.383294696418421	0.217045049521897	-0.322888045528373	-0.0710607777041502	-0.574217143962029	0.581367649958475	0.262244601037062	-0.70276727153927	-0.102942617536957	-1.0295223050165	0.0225402001485087	0.0339342581218319	0.029616322191112	0.0380121778693762	0.0377314569383941	0.0333325315766321	0.0338274677092529	0.0400711261678674	0.0460427836568628	0.0563668034260806	0.754072025517941	0.855754871539449	0.800192269894027	0.955911801708624	0.742879558609447	0.689330954285813	0.867770606398244	0.657023372671289	0.955103851670644	0.505790860584633
HO_donor_1	NGL3_recipient_2	NA	no	Neutral	Neutral	NA	NA	NA	NA	279	307	285	413	332	243	239	250	313	326	233	0.00944840238062328	0.0188154061932071	0.00446057376102571	0.00744460222959042	0.0122139331857765	-0.00594049001515917	-0.0104855473894577	0.00986614682868081	0.030409002267079	-0.00856954491752093	0.704400162131374	0.924530637714599	0.244499731246705	0.316042731573772	0.490136134383331	-0.254550173435568	-0.473667639809025	0.516225904189741	1.30454552260024	-0.312365313156935	0.0134134017687252	0.0203513063014526	0.0182436755176835	0.023555682462682	0.024919470997876	0.0233372067085345	0.0221369300078961	0.0191120723477962	0.0233100353650116	0.0274343678909556	0.544529599792055	0.466732389956377	0.836884285915671	0.7477270448408	0.760753167864158	0.878055428168742	0.772186698169852	0.742030278189993	0.391788792043972	0.842668280077802
HO_donor_1	PSY3_recipient_1	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	218	241	226	189	249	161	233	172	236	270	233	0.00316145366119325	0.0130414676390672	0.0044091019562994	0.0369602422305614	0.029034832133348	0.00995639005191307	0.00327632200353145	0.0118592379262	0.0230652758027637	0.019145644193185	0.21207344125839	0.591745597703045	0.20992396490642	1.44103900647263	1.0060770307355	0.402789865739954	0.122480896192376	0.565968225896035	0.982668907693579	0.657344343550013	0.0149073530491795	0.0220389770362293	0.0210033283158733	0.0256483287853758	0.0288594523543806	0.0247185713911209	0.0267496573374631	0.0209538934936226	0.0234720724571415	0.0291257457085402	0.849392494548288	0.637663494502073	0.858792885283534	0.156469512439213	0.541126539520094	0.778263228034743	0.936327438243796	0.71831111141159	0.517205478903122	0.665106310053885
